# 品名一致化表：型號 → 標準品名（draw-build 產 data.js 時套用）
#
# 為什麼需要：各店的抽選貼文是各自打字的，同一件商品會出現大量寫法差異——
# 空格有無、全半形括號、價格尾綴（850元／-價格550元／(原價$350)）、
# 大小寫（vol.4／Vol.04）、錯字（子彈獅鳶／炫風發射器／專業手納包）。
# 篩選與天梯排序吃的是型號前綴不受影響，但「搜尋」吃品名，
# 搜「子彈獅鷲」會漏掉寫成「獅鳶」的那家；清單上也會同一商品長出好幾個名字。
#
# 規則：
# - 正本 source-links.txt 一律保留各店原文，不要為了統一去改它（那是抄自貼文的證據）。
# - 這裡只列「型號 → 對外顯示的標準品名」，一個型號一列，重複會讓 build 直接 throw。
# - 標準品名含型號前綴，就是頁面上要顯示的完整字串。
# - 型號沒收在這裡的商品不會擋 build，只會沿用原文並在 build 輸出印出來——
#   看到就把新品項補一列進來。
# - 整個沒有型號的品項（開頭就是中文，tagOf 抽不出型號）用「原文全名」當鍵，
#   一字不改地照抄正本那一行。開賣時間註記會自動剝掉再比對，不用為註記另開一列。
#
# 型號	標準品名
# 單顆陀螺的標準品名尾巴接原裝配置（固鎖＋軸心，CX 再前綴輔助刃），來源 products.json。
# UX-19 子彈獅鷲H、UX-20 榮耀武神LF 是沒有固鎖的款式（一體式），品名裡的 H／LF 就是軸心，不用再補。
# BX-00 是多顆共用的特別版型號，鍵加掛品名（tagOf 會產 `BX-00 蒼龍神劍`）；一列 BX-00 會把蒼龍神劍全洗成暴風天馬
BX-00 暴風天馬	BX-00 暴風天馬 3-70RA
BX-20	BX-20 極限衝擊戰鬥盤
BX-30	BX-30 X發射器改造型握把（黑紅）
BBG-31	BBG-31 鋼鐵奇兵紀念組
CX-00 新世紀福音戰士改造組	CX-00 新世紀福音戰士改造組
CX-13	CX-13 龍王閃擊 K1-50I
CX-12	CX-12 鳳凰閃焰 Z9-80WW
CX-11	CX-11 帝王威能改造組
# 隨機強化組照 BX-35 的寫法（Vol. 後補兩位數）
BX-48	BX-48 隨機強化組Vol.09
UX-18	UX-18 隨機強化組Vol.08
CX-08	CX-08 隨機強化組Vol.07
CX-17	CX-17 隨機強化組Vol.10
# 全名鍵：中和環球、新店誠品沒寫型號；products.json 只有一件福音戰士商品（三顆刃同捆），就是 CX-00
新世紀福音戰士戰鬥陀螺套組	CX-00 新世紀福音戰士改造組
新世紀福音戰士 戰鬥陀螺限定套組	CX-00 新世紀福音戰士改造組
# 2026-09-17 補：單顆陀螺接原裝配置（來源 products.json 的 assist/ratchet/bit）
BXG-22	BXG-22 龍騎士S 4-60RA
BX-38	BX-38 赫燃天鳳 4-70TP
BX-44	BX-44 三角強襲 M-85BS
CX-01	CX-01 蒼龍勇氣 S6-60V
CX-02	CX-02 魔導至尊 R4-55LO
CX-14	CX-14 騎士堡壘 V8-70UN
# 多顆組不接配置
BX-08	BX-08 三合一對戰組
BX-36	BX-36 巨鯨怒濤 隨機強化組
UX-16	UX-16 時鐘幻象 隨機強化組
CX-06	CX-06 極狐九尾 隨機強化組
# CX-00 是多顆共用型號，鍵＝型號＋中文品名，所以這條不能併進「改造組」（併了鍵就對不上，
# draw-items.test.mjs 會紅燈）。上面兩條全名鍵能併是因為店家沒寫型號。
CX-00 新世紀福音戰士陀螺套組	CX-00 新世紀福音戰士陀螺套組
# CX-07 沒固鎖：輔助刃 A ＋軸心 Tr（用戶 2026-09-17 確認）
CX-07	CX-07 天馬爆擊 ATr
# CX-00 迪卡狂怒：主刃帶 F，配置 T3-60T，合起來 FT3-60T（products.json BXG-70 的 source 欄即此字串）
CX-00 迪卡狂怒	CX-00 迪卡狂怒 FT3-60T
# CX-19：主刃帶 T（products.json blade 欄 T／裂甲），配置 Q5-50GN，合起來 TQ5-50GN（用戶 2026-09-22 確認）
# 品名取 products.json 的 name「鱷魚碾壓」；兩家店原文寫「鱷魚裂甲」，靠這列一致化
CX-19	CX-19 鱷魚碾壓 TQ5-50GN
# BX-09 是配件（products.json 無此件，不接配置）；另一家原文寫「BX-09 戰鬥陀螺X通行證」（用戶 2026-09-22 確認）
BX-09	BX-09 戰鬥通行證
# 2026-09-23 補：單顆陀螺接原裝配置（來源 products.json 的 ratchet/bit）
UX-14	UX-14 天蠍長矛 0-70Z
BX-13	BX-13 騎士長槍 4-80HN
UX-13	UX-13 魔像奇岩 1-60UN
# 多顆組／配件不接配置。CX-16 在 products.json 掛的是「龍王閃擊 異色版」（對戰組內容物），店家賣的是整組
CX-16	CX-16 極限衝擊對戰組C
BX-16	BX-16 王蛇鞭尾 隨機強化組
BX-41	BX-41 X發射器改造型握把（黑/透紅）
BX-42	BX-42 X發射器改造型握把（藍/透明）
BX-47	BX-47 左迴旋風發射器（紅）
